"siteID","bulkDens","sandTotal","siltTotal","clayTotal","carbonTot","estimatedOC","nitrogenTot","sandTotal_frac","siltTotal_frac","clayTotal_frac","microbialbiomass_avg","MBC","MBN","texture_class","ED_soil_class","SOM","fsc","stsc","stsl","ssc","psc","N_mineralized","msn","fsn"
"HARV",11.5665349462366,79.389375,15.51625,5.094375,0.208060276429771,0.208125338188844,0.0153618042254704,0.79389375,0.1551625,0.05094375,0.0000989185079995396,0.00101701722631667,0.0000953453649671879,"LoSa",2,0.358808083037567,0.00101701722631667,3.58808083037567,3.58808083037567,0.207043259203455,0,0.000230427063382056,0.0108657919697563,0.00449601225571417
"NIWO",10.4880769230769,74.008,20.69,5.302,0.0968993426923077,0.0984306019230769,0.00736263,0.74008,0.2069,0.05302,0.0000626860569096466,0.000584405499442445,0.0000547880155727292,"SaLo",3,0.169694357715385,0.000584405499442445,1.69694357715385,1.69694357715385,0.0963149371928653,0,0.00011043945,0.00492124481202299,0.00244138518797702
"ORNL",13.5949433962264,22.0794117647059,39.7700980392157,38.1504901960784,0.0807009103359411,0.0805749084215371,0.0061011453290382,0.220794117647059,0.397700980392157,0.381504901960784,0.0000379897605571612,0.000459083239476268,0.0000430390537009001,"ClLo",8,0.13891114211873,0.000459083239476268,1.3891114211873,1.3891114211873,0.0802418270964648,0,0.0000915171799355729,0.00414963766300991,0.00195150766602829
"OSBS",16.504,97.2085,1.491,1.3005,0.01456478,0.01435848,0.001477108,0.972085,0.01491,0.013005,0.0000104122703422934,0.000152750319759298,0.0000143203424774342,"Sa",1,0.02475401952,0.000152750319759298,0.2475401952,0.2475401952,0.0144120296802407,0,0.00002215662,0.000897216172404881,0.000579891827595119
"SCBI",10.8662857142857,16.7560606060606,48.6560606060606,34.5878787878788,0.0886960571428572,0.0841050514285714,0.00621008228571429,0.167560606060606,0.486560606060606,0.345878787878788,0.0000411556423611111,0.00039751908324515,0.0000372674140542328,"SiClLo",7,0.144997108662857,0.00039751908324515,1.44997108662857,1.44997108662857,0.088298538059612,0,0.0000931512342857143,0.00443553768800216,0.00177454459771213
"SJER",15.3315,84.0705882352941,10.3105882352941,5.61882352941176,0.03096963,0.0323765205882353,0.00192094676470588,0.840705882352941,0.103105882352941,0.0561882352941176,0.000009567456920183,0.000130385302908254,0.0000122236221476488,"LoSa",2,0.0558171214941177,0.000130385302908254,0.558171214941176,0.558171214941176,0.0308392446970918,0,0.0000288142014705882,0.00134876906746859,0.000572177697237295
"TALL",15.3391428571429,87.83,5.163,7.007,0.0419985731428571,0.0469377771428571,0.0113969831428571,0.8783,0.05163,0.07007,0.0000197219470301418,0.000268904678147867,0.0000252098135763625,"LoSa",2,0.0809207277942857,0.000268904678147867,0.809207277942857,0.809207277942857,0.0417296684647093,0,0.000170954747142857,0.0099323158282772,0.00146466731457995
"UNDE",15.695875,35.2346153846154,52.4586538461538,12.3067307692308,0.11596082265625,0.114851546875,0.01030041796875,0.352346153846154,0.524586538461538,0.123067307692308,0.000103113864255572,0.00143863317699771,0.000134871860343535,"SiLo",4,0.1980040668125,0.00143863317699771,1.980040668125,1.980040668125,0.114522189479252,0,0.00015450626953125,0.00549965249845541,0.00480076547029459
"WREF",7.67277272727273,56.4960563380282,32.3664788732394,11.1374647887324,0.185641049812687,0.18427301973027,0.00947292325174825,0.564960563380282,0.323664788732394,0.111374647887324,0.0000844906941752799,0.000576247016867936,0.000054023157831369,"SaLo",3,0.317686686014985,0.000576247016867936,3.17686686014985,3.17686686014985,0.185064802795819,0,0.000142093848776224,0.00686347475563895,0.0026094484961093
"YELL",10.4016153846154,39.6385,39.705,20.6565,0.149424405807692,0.124819384615385,0.00949147403846154,0.396385,0.39705,0.206565,0.0000289201770833333,0.00026739249677849,0.0000250680465729834,"Lo",5,0.215188619076923,0.00026739249677849,2.15188619076923,2.15188619076923,0.149157013310914,0,0.000142372110576923,0.00807047254579452,0.00142100149266702
